geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-76.22314453125 36.89719244699134, -76.13525390625 36.8268727214275)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,11.058031283288,13,US,LEVEL4,13,27.6,-14.6,-51.048951048951,0,-1.8497320963454,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331223,0320102333013
"LINESTRING (-74.37744140625 40.22921611124274, -74.37744140625 40.22921611124274)",2020-04-28 1600,1206871,Millstone,1206871,Millstone,0,13,US,LEVEL4,116,79.4,36.6,45.522388059701,0,4,40.212303652629,-74.430293179788,40.212303652629,-74.430293179788,0320101120231,0320101120231
"LINESTRING (-76.22314453125 36.89719244699134, -76.17919921875 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,5.5277438102024,13,US,LEVEL4,27,33,-6,-17.647058823529,0,-0.93704257133164,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331223,0320102333010
"LINESTRING (-76.22314453125 36.89719244699134, -76.17919921875 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,3.9078055860392,13,US,LEVEL4,13,10.8,2.2,18.64406779661,0,0.70637742897473,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331223,0320102331232
"LINESTRING (-76.22314453125 36.89719244699134, -76.22314453125 36.79168859835066)",2020-04-28 1600,1425138,Norfolk,1425102,Chesapeake,11.731511124214,13,US,LEVEL4,11,22.4,-11.4,-48.717948717949,0,-4,36.893270935592,-76.261099671982,36.677803371658,-76.302386026962,0320102331223,0320102333021
"LINESTRING (-76.22314453125 36.89719244699134, -76.22314453125 36.89719244699134)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,0,13,US,LEVEL4,1576,1356.8,219.2,16.143761967889,0,4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102331223
"LINESTRING (-76.22314453125 36.89719244699134, -76.22314453125 36.9323280378846)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,3.9069055843071,13,US,LEVEL4,29,39.2,-10.2,-25.373134328358,0,-1.2396692749979,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102331221
"LINESTRING (-76.22314453125 36.89719244699134, -76.22314453125001 36.8620406729112)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,3.9087050754097,13,US,LEVEL4,47,88.4,-41.4,-46.308724832215,0,-4,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102333001
"LINESTRING (-74.37744140625 40.26275858650597, -74.37744140625 40.26275858650597)",2020-04-28 1600,1206866,Manalapan,1206866,Manalapan,0,13,US,LEVEL4,208,147.2,60.8,41.025641025641,0,4,40.279822107727,-74.343697924612,40.279822107727,-74.343697924612,0320101120213,0320101120213
"LINESTRING (-76.22314453125 36.89719244699134, -76.26708984375 36.8268727214275)",2020-04-28 1600,1425138,Norfolk,1425138,Norfolk,8.7421414310352,13,US,LEVEL4,17,10.4,6.6,57.894736842105,0,3.1828026263247,36.893270935592,-76.261099671982,36.893270935592,-76.261099671982,0320102331223,0320102333002
