geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon
"LINESTRING (-76.79443359375 39.41921866980341, -76.73793247767857 39.29057419256884)",2020-04-28 1600,1109378,District 4,1109375,District 1,15.107026545966,13,US,LEVEL4,15,54,-39,-70.909090909091,0,-4,39.47501148267,-76.807744544305,39.280843145008,-76.74505147222
"LINESTRING (-76.79443359375 39.42972402893258, -76.73060825892857 39.394155225103745)",2020-04-28 1600,1109378,District 4,1109377,District 3,6.7607783195923,13,US,LEVEL4,40,103.8,-63.8,-60.87786259542,0,-4,39.47501148267,-76.807744544305,39.396072774071,-76.715858636607
"LINESTRING (-76.79443359375 39.43376455167457, -76.9921875 39.57181809954612)",2020-04-28 1600,1109378,District 4,1109410,District 7 Westminster,22.880568780251,13,US,LEVEL4,15,24.8,-9.8,-37.984496124031,0,-1.6517896630349,39.47501148267,-76.807744544305,39.579766119753,-77.003833157437
"LINESTRING (-76.79443359375 39.96348229485782, -76.75048828125 40.00196760590126)",2020-04-28 1600,1409886,West Manchester,1409860,Manchester township,5.6861498930516,13,US,LEVEL4,20,48,-28,-57.142857142857,0,-3.1304951684997,39.945670837714,-76.795129423526,40.012729089056,-76.753746173442
"LINESTRING (-76.79443359375 39.97345558686826, -76.83837890625 39.988097038714194)",2020-04-28 1600,1409886,West Manchester,1409835,Dover township,4.0829642503049,13,US,LEVEL4,24,23.6,0.4,1.6260162601626,0,0.065494612266391,39.945670837714,-76.795129423526,40.001717781418,-76.869738933226
"LINESTRING (-76.79443359375 39.978106400984025, -76.67552274816177 39.97612549867546)",2020-04-28 1600,1409886,West Manchester,1409878,Springettsbury,10.134659056629,13,US,LEVEL4,16,38.2,-22.2,-56.632653061224,0,-3.4586320883161,39.945670837714,-76.795129423526,39.990649790504,-76.67353462768
"LINESTRING (-76.79443359375 40.29628443884691, -77.21923828125 40.195657016316716)",2020-04-28 1600,1408302,Lower Paxton,1408254,Carlisle,37.75066062156,13,US,LEVEL4,11,10,1,9.0909090909091,0,0.2,40.318395829805,-76.798381801064,40.199889635911,-77.204096779323
"LINESTRING (-76.79643110795456 40.31608534522811, -76.73051313920455 40.33892800961651)",2020-04-28 1600,1408302,Lower Paxton,1408323,West Hanover,6.1380888765354,13,US,LEVEL4,21,31,-10,-31.25,0,-1.8411492357966,40.318395829805,-76.798381801064,40.363998271161,-76.746953499296
"LINESTRING (-76.79873751610825 38.10745949895062, -76.7994170827964 38.10745949895062)",2020-04-28 1600,1425072,Montross,1425072,Montross,0.059458270083115,13,US,LEVEL4,193,172.4,20.6,11.880046136101,0,2.0467391540831,38.109030728564,-76.788980734824,38.109030728564,-76.788980734824
"LINESTRING (-76.798828125 39.43067355177695, -76.7911376953125 39.37082302624826)",2020-04-28 1600,1109378,District 4,1109376,District 2,6.6878097085041,13,US,LEVEL4,82,107.8,-25.8,-23.713235294118,0,-2.0947245159273,39.47501148267,-76.807744544305,39.365601686892,-76.815278239174
"LINESTRING (-76.799356601199 40.31356622062479, -76.79919931661597 40.31342231911222)",2020-04-28 1600,1408302,Lower Paxton,1408302,Lower Paxton,0.020829822997196,13,US,LEVEL4,2792,2128.6,663.4,31.151389932382,0,4,40.318395829805,-76.798381801064,40.318395829805,-76.798381801064
"LINESTRING (-76.80042613636364 39.1672344264539, -76.66259765624999 39.24926878192276)",2020-04-28 1600,1109515,District 6 Savage,1109387,District 13,14.974310243516,13,US,LEVEL4,20,39.6,-19.6,-48.275862068966,0,-3.2988967165921,39.163260881004,-76.836857898142,39.240104637356,-76.677017973399
"LINESTRING (-76.8011944110577 40.3138123417737, -76.88232421875 40.276684709786046)",2020-04-28 1600,1408302,Lower Paxton,1408296,Harrisburg,8.0241972209644,13,US,LEVEL4,66,137.2,-71.2,-51.519536903039,0,-4,40.318395829805,-76.798381801064,40.275157939718,-76.884205185764
"LINESTRING (-76.80124864221257 37.39190612641424, -76.8014248934659 37.39190612641424)",2020-04-28 1600,1424786,Stonehouse,1424786,Stonehouse,0.015570838342962,13,US,LEVEL4,750,529,221,41.698113207547,0,4,37.395562681442,-76.795176511057,37.395562681442,-76.795176511057
"LINESTRING (-76.80196707589286 40.31734738101943, -76.83837890625 40.26275858650597)",2020-04-28 1600,1408302,Lower Paxton,1408310,Paxtang,6.8105021437802,13,US,LEVEL4,36,74.2,-38.2,-50.797872340426,0,-4,40.318395829805,-76.798381801064,40.262156243291,-76.83424057412
"LINESTRING (-74.02587890625 40.252166225896524, -74.02587890625 40.29628443884691)",2020-04-28 1600,1206875,Ocean,1206890,West Long Branch,4.9057291527882,13,US,LEVEL4,20,64.6,-44.6,-67.987804878049,0,-4,40.251828543516,-74.03908628912,40.288285013523,-74.01821908946
"LINESTRING (-74.55353050432356 40.16513372209655, -74.55353050432356 40.16513372209655)",2020-04-28 1600,1206888,Upper Freehold,1206888,Upper Freehold,0,13,US,LEVEL4,573,384.6,188.4,48.858921161826,0,4,40.154937675593,-74.528258015946,40.154937675593,-74.528258015946
"LINESTRING (-76.80267333984375 39.43406759088022, -76.61041259765625 39.39375097599568)",2020-04-28 1600,1109378,District 4,1109383,District 9,17.114139780173,13,US,LEVEL4,15,58.2,-43.2,-72.972972972973,0,-4,39.47501148267,-76.807744544305,39.401805232965,-76.585593359634
"LINESTRING (-76.80391199448529 40.31402461741468, -76.77806181066177 40.2574970217588)",2020-04-28 1600,1408302,Lower Paxton,1408319,Swatara,6.6570665750127,13,US,LEVEL4,52,90.8,-38.8,-42.265795206972,0,-4,40.318395829805,-76.798381801064,40.246292268408,-76.802544523187
"LINESTRING (-76.803955078125 40.313039051938695, -76.8515625 40.306337206701976)",2020-04-28 1600,1408302,Lower Paxton,1408318,Susquehanna,4.1049766476139,13,US,LEVEL4,62,120.8,-58.8,-48.275862068966,0,-4,40.318395829805,-76.798381801064,40.310661502782,-76.869715660993
"LINESTRING (-76.80434283088235 39.437852609978236, -76.64105583639706 39.30929191830911)",2020-04-28 1600,1109378,District 4,1109653,Baltimore,20.033830885626,13,US,LEVEL4,103,259.6,-156.6,-60.092095165004,0,-4,39.47501148267,-76.807744544305,39.300980735441,-76.610646352569
"LINESTRING (-76.80441891785011 39.44408918791039, -76.80444363399887 39.4438983063736)",2020-04-28 1600,1109378,District 4,1109378,District 4,0.021330939903829,13,US,LEVEL4,3554,2853,701,24.562018220042,0,4,39.47501148267,-76.807744544305,39.47501148267,-76.807744544305
"LINESTRING (-76.80565367353724 39.16739778255321, -76.62987242353724 39.14999903223626)",2020-04-28 1600,1109515,District 6 Savage,1109368,District 2,15.278954548335,13,US,LEVEL4,47,59,-12,-20,0,-1.038581573779,39.163260881004,-76.836857898142,39.14026053424,-76.640715998308
"LINESTRING (-76.8076171875 39.429400787113224, -76.6494140625 39.449760060363545)",2020-04-28 1600,1109378,District 4,1109382,District 8,13.773082455737,13,US,LEVEL4,11,45,-34,-73.913043478261,0,-4,39.47501148267,-76.807744544305,39.488330789028,-76.663315772066
"LINESTRING (-76.80831106085527 39.16503356774276, -76.54695209703948 39.152477916132646)",2020-04-28 1600,1109515,District 6 Savage,1109369,District 3,22.577725456115,13,US,LEVEL4,21,17.6,3.4,18.279569892473,0,0.66298093957198,39.163260881004,-76.836857898142,39.13345506609,-76.509825333966
"LINESTRING (-76.80880033052885 39.16151309955341, -76.6803448016827 39.18051065598725)",2020-04-28 1600,1109515,District 6 Savage,1109367,District 1,11.27326913785,13,US,LEVEL4,50,128,-78,-60.46511627907,0,-4,39.163260881004,-76.836857898142,39.17629622564,-76.686644795364
"LINESTRING (-74.55426897321429 39.41598034659401, -74.54171316964286 39.47981036606584)",2020-04-28 1600,1206510,Egg Harbor,1206514,Galloway,7.1789993645059,13,US,LEVEL4,41,97.6,-56.6,-57.403651115619,0,-4,39.382261842622,-74.615902093702,39.496509725215,-74.49925145829
"LINESTRING (-76.80964543269232 39.14709683668562, -77.0361328125 39.03164299951253)",2020-04-28 1600,1109515,District 6 Savage,1109537,District 13,23.385916695668,13,US,LEVEL4,27,65.4,-38.4,-57.831325301205,0,-3.9130741793008,39.163260881004,-76.836857898142,39.044736536287,-77.048813829525
"LINESTRING (-76.81091308593751 39.155612594889554, -76.83837890625 38.96367611075641)",2020-04-28 1600,1109515,District 6 Savage,1109558,District 20 Lanham,21.473743706232,13,US,LEVEL4,10,10.2,-0.2,-1.7857142857143,0,-0.035522241666269,39.163260881004,-76.836857898142,38.958277147911,-76.85457672094
"LINESTRING (-76.8113888718012 39.175535515151914, -76.61934439591535 39.2958742864515)",2020-04-28 1600,1109515,District 6 Savage,1109653,Baltimore,21.275024845816,13,US,LEVEL4,128,227.2,-99.2,-43.470639789658,0,-4,39.163260881004,-76.836857898142,39.300980735441,-76.610646352569
"LINESTRING (-76.81162958559783 40.18981776217672, -76.78679093070652 40.254008375567736)",2020-04-28 1600,1409839,Fairview,1408319,Swatara,7.4427045032147,13,US,LEVEL4,22,13.8,8.2,55.405405405405,0,1.504650479006,40.173481740074,-76.865546865071,40.246292268408,-76.802544523187
"LINESTRING (-76.81222098214286 39.17224550451314, -76.73374720982143 39.278427439447604)",2020-04-28 1600,1109515,District 6 Savage,1109375,District 1,13.604997083223,13,US,LEVEL4,41,78.4,-37.4,-47.103274559194,0,-4,39.163260881004,-76.836857898142,39.280843145008,-76.74505147222
"LINESTRING (-76.81237045599491 39.145008844674656, -76.93882533482143 38.99949278835218)",2020-04-28 1600,1109515,District 6 Savage,1109559,District 21 Berwyn,19.518758539891,13,US,LEVEL4,47,76,-29,-37.662337662338,0,-2.7650415088122,39.163260881004,-76.836857898142,39.000205965331,-76.910154046781
"LINESTRING (-76.81407155178505 38.80892106670796, -76.81407155178505 38.80892106670796)",2020-04-28 1600,1109553,District 15 Mellwood,1109553,District 15 Mellwood,0,13,US,LEVEL4,1329,858.2,470.8,54.795158286778,0,4,38.807632791339,-76.806850473777,38.807632791339,-76.806850473777
"LINESTRING (-76.81449558423914 39.160428001384865, -76.97021484375 38.9705475548041)",2020-04-28 1600,1109515,District 6 Savage,1109555,District 17 Chillum,25.030617492108,13,US,LEVEL4,45,57.2,-12.2,-20.962199312715,0,-1.8670067717377,39.163260881004,-76.836857898142,38.97162208823,-76.972647124463
"LINESTRING (-76.81452287946429 39.277459286045996, -76.73918805803571 39.28134432776643)",2020-04-28 1600,1109511,District 2 Ellicott City,1109375,District 1,6.4986347765047,13,US,LEVEL4,37,79.6,-42.6,-52.853598014888,0,-3.176982008602,39.272211891096,-76.834040020538,39.280843145008,-76.74505147222
"LINESTRING (-76.81476649953358 39.1806604647174, -76.76688578591418 39.20150516665752)",2020-04-28 1600,1109515,District 6 Savage,1109510,District 1 Elkridge,4.7328170741472,13,US,LEVEL4,68,142.8,-74.8,-52.01668984701,0,-4,39.163260881004,-76.836857898142,39.206354754426,-76.7579239808
"LINESTRING (-76.81597541360296 39.13573503774978, -76.76686006433823 39.10364928030059)",2020-04-28 1600,1109515,District 6 Savage,1109370,District 4,5.5391430003089,13,US,LEVEL4,51,110,-59,-53.153153153153,0,-4,39.163260881004,-76.836857898142,39.068681999254,-76.707526426702
"LINESTRING (-76.81640625 39.14993177264083, -76.903076171875 38.94231891979736)",2020-04-28 1600,1109515,District 6 Savage,1109540,District 2 Bladensburg,24.268540551729,13,US,LEVEL4,36,31.6,4.4,13.496932515337,0,0.8271027384366,39.163260881004,-76.836857898142,38.937180997259,-76.91683728002
"LINESTRING (-76.81840376420455 40.18650000414265, -76.83837890625 40.26275858650597)",2020-04-28 1600,1409839,Fairview,1408310,Paxtang,8.6475023879228,13,US,LEVEL4,11,16.6,-5.6,-31.818181818182,0,-1.7448954679793,40.173481740074,-76.865546865071,40.262156243291,-76.83424057412
"LINESTRING (-76.81884765625 39.26628029303161, -76.79443359374999 39.21522924530484)",2020-04-28 1600,1109511,District 2 Ellicott City,1109510,District 1 Elkridge,6.0534914794678,13,US,LEVEL4,16,44.8,-28.8,-62.882096069869,0,-3.2672470789494,39.272211891096,-76.834040020538,39.206354754426,-76.7579239808
"LINESTRING (-76.81987561677632 39.182962581171765, -76.81524979440789 39.26538495034168)",2020-04-28 1600,1109515,District 6 Savage,1109511,District 2 Ellicott City,9.1736218335737,13,US,LEVEL4,40,88.2,-48.2,-54.035874439462,0,-4,39.163260881004,-76.836857898142,39.272211891096,-76.834040020538
"LINESTRING (-76.82147686298077 39.15626831186103, -76.96007361778847 39.06840313725518)",2020-04-28 1600,1109515,District 6 Savage,1109529,District 5,15.441652994797,13,US,LEVEL4,26,40,-14,-34.146341463415,0,-2.0102828441297,39.163260881004,-76.836857898142,39.087663385465,-76.97438435624
"LINESTRING (-76.82322535021552 37.148235048119126, -76.82322535021552 37.148235048119126)",2020-04-28 1600,1425042,Surry,1425042,Surry,0,13,US,LEVEL4,56,41.6,14.4,33.802816901408,0,3.321112348904,37.165433704592,-76.826730356643,37.165433704592,-76.826730356643
"LINESTRING (-74.5611102764423 39.39919151936065, -74.46533203125 39.35128828948367)",2020-04-28 1600,1206510,Egg Harbor,1206505,Atlantic City,9.805519338997,13,US,LEVEL4,41,89.8,-48.8,-53.74449339207,0,-4,39.382261842622,-74.615902093702,39.376075251898,-74.451934737281
"LINESTRING (-76.82455341467697 36.79579175152151, -76.82455341467697 36.79579175152151)",2020-04-28 1600,1424776,Carrsville,1424776,Carrsville,0,13,US,LEVEL4,178,126.6,51.4,40.282131661442,0,4,36.825373223219,-76.822796581383,36.825373223219,-76.822796581383
"LINESTRING (-76.8251886084096 39.26847323382291, -76.8252556493135 39.26849918578495)",2020-04-28 1600,1109511,District 2 Ellicott City,1109511,District 2 Ellicott City,0.0064525287045024,13,US,LEVEL4,2622,1822.4,799.6,43.852144345728,0,4,39.272211891096,-76.834040020538,39.272211891096,-76.834040020538
"LINESTRING (-76.82646484375 39.86634419148029, -76.82626953125 39.86649408084428)",2020-04-28 1600,1409867,North Codorus,1409867,North Codorus,0.023572294915986,13,US,LEVEL4,673,468,205,43.710021321962,0,4,39.864648615296,-76.81889712705,39.864648615296,-76.81889712705
"LINESTRING (-76.82666015625 38.81916312156295, -76.88232421875001 38.839705555460355)",2020-04-28 1600,1109553,District 15 Mellwood,1109544,District 6 Spauldings,5.3354626000635,13,US,LEVEL4,15,30.8,-15.8,-49.685534591195,0,-2.7217118020707,38.807632791339,-76.806850473777,38.840613052176,-76.908581336055
"LINESTRING (-76.82791573660717 39.13573762634761, -76.91999162946429 39.04478398725156)",2020-04-28 1600,1109515,District 6 Savage,1109539,District 1 Vansville,12.862063883022,13,US,LEVEL4,19,36.2,-17.2,-46.236559139785,0,-3.4963972011815,39.163260881004,-76.836857898142,39.045655406911,-76.903202808604
"LINESTRING (-76.82823768028847 39.27805749303005, -76.6558368389423 39.28721563150642)",2020-04-28 1600,1109511,District 2 Ellicott City,1109653,Baltimore,14.873196173866,13,US,LEVEL4,26,82.2,-56.2,-67.548076923077,0,-4,39.272211891096,-76.834040020538,39.300980735441,-76.610646352569
"LINESTRING (-76.82869017593505 39.13179654432085, -76.85914047121064 39.085082242053026)",2020-04-28 1600,1109515,District 6 Savage,1109548,District 10 Laurel,5.8210491570596,13,US,LEVEL4,128,178.4,-50.4,-28.09364548495,0,-3.5567118527071,39.163260881004,-76.836857898142,39.079279656731,-76.861407791254
"LINESTRING (-74.56613701080607 40.32979366503048, -74.56600010952103 40.32979366503048)",2020-04-28 1600,1206829,Plainsboro,1206829,Plainsboro,0.01160478960151,13,US,LEVEL4,965,740.6,224.4,30.258899676375,0,4,40.337811656135,-74.58807528119,40.337811656135,-74.58807528119
"LINESTRING (-76.82958984375001 39.12664391103446, -77.007568359375 38.92522492830592)",2020-04-28 1600,1109515,District 6 Savage,80793,Washington,27.165906275263,13,US,LEVEL4,22,78.4,-56.4,-71.03274559194,0,-4,39.163260881004,-76.836857898142,38.904768374005,-77.016288812624
"LINESTRING (-76.8297464297199 39.16207070029575, -76.82972618153414 39.162002657644635)",2020-04-28 1600,1109515,District 6 Savage,1109515,District 6 Savage,0.0077647968469905,13,US,LEVEL4,6509,5591.2,917.8,16.412145488359,0,4,39.163260881004,-76.836857898142,39.163260881004,-76.836857898142
"LINESTRING (-76.83018571239407 38.0293026757229, -76.83018571239407 38.0293026757229)",2020-04-28 1600,1424968,District 5,1424968,District 5,0,13,US,LEVEL4,61,44,17,37.777777777778,0,1.9500337378998,38.034524432185,-76.851256249579,38.034524432185,-76.851256249579
"LINESTRING (-76.83234982374238 37.56538120452208, -76.83194788490853 37.56580612324465)",2020-04-28 1600,1424801,West Point,1424801,West Point,0.059055106056887,13,US,LEVEL4,329,282.2,46.8,16.525423728814,0,3.8639437560209,37.612141464559,-76.939341822005,37.612141464559,-76.939341822005
"LINESTRING (-76.8328857421875 39.2733684226603, -76.8328857421875 39.18400294953274)",2020-04-28 1600,1109511,District 2 Ellicott City,1109515,District 6 Savage,9.9370028261929,13,US,LEVEL4,25,132,-107,-80.451127819549,0,-4,39.272211891096,-76.834040020538,39.163260881004,-76.836857898142
"LINESTRING (-76.83412613407258 39.1701780588909, -76.88515940020162 39.2020451944372)",2020-04-28 1600,1109515,District 6 Savage,1109514,District 5 Clarksville,5.6481997476894,13,US,LEVEL4,62,220.8,-158.8,-71.596032461677,0,-4,39.163260881004,-76.836857898142,39.203354208735,-76.94293151214
"LINESTRING (-74.56693036840596 39.39304639044711, -74.55322265625 39.385261744726435)",2020-04-28 1600,1206510,Egg Harbor,1206521,Northfield,1.4618444699282,13,US,LEVEL4,108,207.6,-99.6,-47.746883988495,0,-4,39.382261842622,-74.615902093702,39.372450134896,-74.555788027298
