polygon_id,polygon_name,county_fips,state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
56029,Park,56029,56,2020-03-10,0.08614926699921428,0.1294583883751651
56031,Platte,56031,56,2020-03-10,0.25563589961718414,0.13333333333333333
56033,Sheridan,56033,56,2020-03-10,0.10164743989250838,0.12404787812840043
56037,Sweetwater,56037,56,2020-03-10,0.1925760129303008,0.1073386756642767
56039,Teton,56039,56,2020-03-10,0.012389136754761408,0.08714733542319747
56041,Uinta,56041,56,2020-03-10,0.40196100408702495,0.11608391608391608
56001,Albany,56001,56,2020-03-11,0.27091156858109183,0.10473313192346426
56003,Big Horn,56003,56,2020-03-11,0.020649594688045655,0.1589793915603533
56005,Campbell,56005,56,2020-03-11,0.05142717877919778,0.09448818897637795
56007,Carbon,56007,56,2020-03-11,0.25085230237758693,0.0869318181818182
56009,Converse,56009,56,2020-03-11,0.01877001169697176,0.10656620021528526
56013,Fremont,56013,56,2020-03-11,0.027804950378664393,0.10934105720492397
56015,Goshen,56015,56,2020-03-11,0.04988850767366895,0.09098428453267163
56021,Laramie,56021,56,2020-03-11,0.031102308993213208,0.11776575254517106
56023,Lincoln,56023,56,2020-03-11,0.06441093595698738,0.13403736799350122
56025,Natrona,56025,56,2020-03-11,0.02417023694494332,0.11235194585448392
56029,Park,56029,56,2020-03-11,0.09844802656190571,0.1331013484123532
56031,Platte,56031,56,2020-03-11,0.015729181544566397,0.1111111111111111
56033,Sheridan,56033,56,2020-03-11,0.07307798567992384,0.12622415669205658
56037,Sweetwater,56037,56,2020-03-11,0.17483046789399917,0.10219422998780986
56039,Teton,56039,56,2020-03-11,0.1896890802645303,0.10050251256281408
56041,Uinta,56041,56,2020-03-11,0.07442682627848429,0.12256267409470752
56001,Albany,56001,56,2020-03-12,0.07287508824975879,0.09577754891864057
56003,Big Horn,56003,56,2020-03-12,0.09480634128913956,0.19662921348314608
56005,Campbell,56005,56,2020-03-12,-0.068804906702169,0.1103534900412704
56007,Carbon,56007,56,2020-03-12,0.10422882584481795,0.09500805152979067
56009,Converse,56009,56,2020-03-12,-0.03574161108775675,0.1366630076838639
56013,Fremont,56013,56,2020-03-12,-0.01269787724013589,0.11238367931281316
56015,Goshen,56015,56,2020-03-12,0.09850356805332659,0.1084634346754314
56021,Laramie,56021,56,2020-03-12,0.021686471815688446,0.11589800239344565
56023,Lincoln,56023,56,2020-03-12,0.06147633513287455,0.0999206978588422
56025,Natrona,56025,56,2020-03-12,0.01763278648677974,0.1258764607679466
56029,Park,56029,56,2020-03-12,0.06890882996580167,0.15274151436031333
56031,Platte,56031,56,2020-03-12,0.04628010753286506,0.11526479750778816
56033,Sheridan,56033,56,2020-03-12,-0.05658962038071675,0.12689804772234273
56037,Sweetwater,56037,56,2020-03-12,0.15483397910110494,0.10676661264181522
56039,Teton,56039,56,2020-03-12,0.0691457271521123,0.1067484662576687
56041,Uinta,56041,56,2020-03-12,0.0025808799246177364,0.12448132780082988
56001,Albany,56001,56,2020-03-13,0.07552249438375651,0.12125340599455041
56003,Big Horn,56003,56,2020-03-13,0.0380841011628598,0.17193675889328064
56005,Campbell,56005,56,2020-03-13,-0.012784713664197886,0.10113574905354246
56007,Carbon,56007,56,2020-03-13,-0.000819232049635361,0.09313725490196079
56009,Converse,56009,56,2020-03-13,0.019772114485050153,0.09950248756218906
56013,Fremont,56013,56,2020-03-13,0.06414281368343287,0.09183673469387756
56015,Goshen,56015,56,2020-03-13,-0.05713798570185515,0.13666121112929625
56021,Laramie,56021,56,2020-03-13,-0.05136464001743695,0.13796594569719284
56023,Lincoln,56023,56,2020-03-13,0.047390782482617716,0.145985401459854
56025,Natrona,56025,56,2020-03-13,0.03061026470999821,0.12318596017549781
56029,Park,56029,56,2020-03-13,0.06965150121561765,0.11632916846186989
56031,Platte,56031,56,2020-03-13,,
56033,Sheridan,56033,56,2020-03-13,0.054427417168144296,0.1396103896103896
56037,Sweetwater,56037,56,2020-03-13,0.03990690868417491,0.12352941176470587
56039,Teton,56039,56,2020-03-13,-0.040605730708261546,0.12096774193548389
56041,Uinta,56041,56,2020-03-13,0.07170815734620323,0.1214518380642159
56001,Albany,56001,56,2020-03-14,0.027135849152783022,0.1814300960512273
56003,Big Horn,56003,56,2020-03-14,-0.0492257149594395,0.21471172962226637
56005,Campbell,56005,56,2020-03-14,-0.17735485860469644,0.1794166208035223
56007,Carbon,56007,56,2020-03-14,-0.09985933971349842,0.15688553166763508
56009,Converse,56009,56,2020-03-14,-0.047795141668448185,0.1833616298811545
56013,Fremont,56013,56,2020-03-14,-0.08752646587236751,0.16952789699570817
56015,Goshen,56015,56,2020-03-14,-0.28950503965341085,0.2456286427976686
56021,Laramie,56021,56,2020-03-14,-0.12068175398889205,0.21545237658285923
56023,Lincoln,56023,56,2020-03-14,-0.12039332370423114,0.21568627450980396
56025,Natrona,56025,56,2020-03-14,-0.05374866202506564,0.18467852257181944
56029,Park,56029,56,2020-03-14,-0.00630187042142546,0.19177469825659363
56031,Platte,56031,56,2020-03-14,,
56033,Sheridan,56033,56,2020-03-14,-0.11903182441905312,0.22126745435016112
56037,Sweetwater,56037,56,2020-03-14,0.1981109480888692,0.1693889897156685
56039,Teton,56039,56,2020-03-14,-0.09976856959217253,0.16698903932946485
56041,Uinta,56041,56,2020-03-14,0.04518064086936335,0.17945205479452056
56001,Albany,56001,56,2020-03-15,0.5321174459024736,0.19483315392895587
56003,Big Horn,56003,56,2020-03-15,-0.1458927552891741,0.27865612648221344
56005,Campbell,56005,56,2020-03-15,-0.10168311707597777,0.18666419019316494
56007,Carbon,56007,56,2020-03-15,0.470169397073646,0.18623024830699772
56009,Converse,56009,56,2020-03-15,0.11924837775165613,0.16510538641686184
56013,Fremont,56013,56,2020-03-15,-0.05165536731877481,0.18016046681254558
56015,Goshen,56015,56,2020-03-15,-0.14639763121042915,0.20856463124504357
56021,Laramie,56021,56,2020-03-15,0.09464362600563359,0.19345238095238096
56023,Lincoln,56023,56,2020-03-15,0.06661196040516065,0.23639455782312926
56025,Natrona,56025,56,2020-03-15,-0.03529925167392603,0.22019587977034785
56029,Park,56029,56,2020-03-15,-0.11272295405038338,0.24206008583690986
56031,Platte,56031,56,2020-03-15,,
56033,Sheridan,56033,56,2020-03-15,-0.02778684416649002,0.25344644750795337
56037,Sweetwater,56037,56,2020-03-15,0.35432844674498976,0.19995860070378804
56039,Teton,56039,56,2020-03-15,-0.03221414088196107,0.1678321678321678
56041,Uinta,56041,56,2020-03-15,0.6711553147928673,0.20806241872561768
56001,Albany,56001,56,2020-03-16,0.5286986507168526,0.14142538975501115
56003,Big Horn,56003,56,2020-03-16,0.06630438317535046,0.1930693069306931
56005,Campbell,56005,56,2020-03-16,0.11568702277752832,0.14590163934426228
56007,Carbon,56007,56,2020-03-16,0.8412059582248431,0.1013745704467354
56009,Converse,56009,56,2020-03-16,0.20400951117630664,0.1265164644714038
56013,Fremont,56013,56,2020-03-16,-0.024119275453438387,0.13003315963998105
56015,Goshen,56015,56,2020-03-16,0.02985830928596845,0.13723916532905295
56021,Laramie,56021,56,2020-03-16,0.19491795924701882,0.14791055718475074
56023,Lincoln,56023,56,2020-03-16,0.07385353349003507,0.1540383014154871
56025,Natrona,56025,56,2020-03-16,-0.009490643822852843,0.15922551252847378
56029,Park,56029,56,2020-03-16,0.0821012563505969,0.17670329670329668
56031,Platte,56031,56,2020-03-16,,
