state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
50,2020-03-02,-0.0030781980354902833,0.16021430814318607
51,2020-03-02,0.03217474991394536,0.13088125853579996
53,2020-03-02,-0.004030655840735304,0.14563791381166055
54,2020-03-02,0.036270751948110976,0.18531439304927114
55,2020-03-02,0.009298378304976576,0.13291428193337082
56,2020-03-02,0.09100020683928488,0.13890076392632109
60,2020-03-02,0.05063854702013016,0.20619396903015486
66,2020-03-02,-0.09048989202339512,0.1591348689994725
69,2020-03-02,0.02653988000629047,0.13448399856166846
72,2020-03-02,-0.09317880120283406,0.1733904301993543
78,2020-03-02,-0.08135021176627036,0.11277819454863716
01,2020-03-03,0.08051888979806755,0.1159219663708108
02,2020-03-03,0.04592001888201243,0.1294864396999423
04,2020-03-03,0.04522440714476333,0.1281808794334132
05,2020-03-03,0.11679103661719625,0.11767106027080612
